Timestamp,Power_Consumption_Watt,Hour,Day,Weekday,Is_Weekend,Device_Fridge,Device_Heater,Device_Laptop,Device_TV,Device_Washing machine,Power_Normalized
2025-04-22 00:00:00,191,0,22,1,0,True,False,False,False,False,0.08185053380782918
2025-04-22 00:00:00,1260,0,22,1,0,False,False,False,False,True,0.6253177427554653
2025-04-22 00:00:00,232,0,22,1,0,False,False,False,True,False,0.1026944585663447
2025-04-22 00:00:00,37,0,22,1,0,False,False,True,False,False,0.003558718861209965
2025-04-22 00:00:00,1844,0,22,1,0,False,True,False,False,False,0.9222165734621252
2025-04-22 01:00:00,128,1,22,1,0,True,False,False,False,False,0.0498220640569395
2025-04-22 01:00:00,975,1,22,1,0,False,False,False,False,True,0.4804270462633452
2025-04-22 01:00:00,122,1,22,1,0,False,False,False,True,False,0.046771733604473814
2025-04-22 01:00:00,70,1,22,1,0,False,False,True,False,False,0.020335536349771227
2025-04-22 01:00:00,1172,1,22,1,0,False,True,False,False,False,0.5805795627859686
2025-04-22 02:00:00,108,2,22,1,0,True,False,False,False,False,0.03965429588205389
2025-04-22 02:00:00,664,2,22,1,0,False,False,False,False,True,0.3223182511438739
2025-04-22 02:00:00,247,2,22,1,0,False,False,False,True,False,0.1103202846975089
2025-04-22 02:00:00,75,2,22,1,0,False,False,True,False,False,0.022877478393492627
2025-04-22 02:00:00,1416,2,22,1,0,False,True,False,False,False,0.704626334519573
2025-04-22 03:00:00,133,3,22,1,0,True,False,False,False,False,0.05236400610066091
2025-04-22 03:00:00,588,3,22,1,0,False,False,False,False,True,0.28368073207930855
2025-04-22 03:00:00,290,3,22,1,0,False,False,False,True,False,0.13218098627351296
2025-04-22 03:00:00,42,3,22,1,0,False,False,True,False,False,0.0061006609049313685
2025-04-22 03:00:00,1819,3,22,1,0,False,True,False,False,False,0.909506863243518
2025-04-22 04:00:00,142,4,22,1,0,True,False,False,False,False,0.056939501779359435
2025-04-22 04:00:00,765,4,22,1,0,False,False,False,False,True,0.3736654804270462
2025-04-22 04:00:00,105,4,22,1,0,False,False,False,True,False,0.03812913065582105
2025-04-22 04:00:00,51,4,22,1,0,False,False,True,False,False,0.010676156583629895
2025-04-22 04:00:00,1294,4,22,1,0,False,True,False,False,False,0.6426029486527708
2025-04-22 05:00:00,150,5,22,1,0,True,False,False,False,False,0.061006609049313675
2025-04-22 05:00:00,1107,5,22,1,0,False,False,False,False,True,0.5475343162175903
2025-04-22 05:00:00,162,5,22,1,0,False,False,False,True,False,0.06710726995424506
2025-04-22 05:00:00,57,5,22,1,0,False,False,True,False,False,0.013726487036095579
2025-04-22 05:00:00,1303,5,22,1,0,False,True,False,False,False,0.6471784443314693
2025-04-22 06:00:00,105,6,22,1,0,True,False,False,False,False,0.03812913065582105
2025-04-22 06:00:00,841,6,22,1,0,False,False,False,False,True,0.4123029994916116
2025-04-22 06:00:00,170,6,22,1,0,False,False,False,True,False,0.0711743772241993
2025-04-22 06:00:00,31,6,22,1,0,False,False,True,False,False,0.0005083884087442817
2025-04-22 06:00:00,1717,6,22,1,0,False,True,False,False,False,0.8576512455516014
2025-04-22 07:00:00,123,7,22,1,0,True,False,False,False,False,0.047280122013218094
2025-04-22 07:00:00,860,7,22,1,0,False,False,False,False,True,0.42196237925775293
2025-04-22 07:00:00,250,7,22,1,0,False,False,False,True,False,0.11184544992374174
2025-04-22 07:00:00,54,7,22,1,0,False,False,True,False,False,0.012201321809862735
2025-04-22 07:00:00,1970,7,22,1,0,False,True,False,False,False,0.9862735129639045
2025-04-22 08:00:00,152,8,22,1,0,True,False,False,False,False,0.062023385866802234
2025-04-22 08:00:00,593,8,22,1,0,False,False,False,False,True,0.28622267412303
2025-04-22 08:00:00,203,8,22,1,0,False,False,False,True,False,0.08795119471276056
2025-04-22 08:00:00,68,8,22,1,0,False,False,True,False,False,0.01931875953228266
2025-04-22 08:00:00,1866,8,22,1,0,False,True,False,False,False,0.9334011184544992
2025-04-22 09:00:00,134,9,22,1,0,True,False,False,False,False,0.05287239450940518
2025-04-22 09:00:00,759,9,22,1,0,False,False,False,False,True,0.37061514997458056
2025-04-22 09:00:00,203,9,22,1,0,False,False,False,True,False,0.08795119471276056
2025-04-22 09:00:00,53,9,22,1,0,False,False,True,False,False,0.011692933401118455
2025-04-22 09:00:00,1229,9,22,1,0,False,True,False,False,False,0.6095577020843925
2025-04-22 10:00:00,186,10,22,1,0,True,False,False,False,False,0.07930859176410779
2025-04-22 10:00:00,1390,10,22,1,0,False,False,False,False,True,0.6914082358922217
2025-04-22 10:00:00,227,10,22,1,0,False,False,False,True,False,0.10015251652262329
2025-04-22 10:00:00,58,10,22,1,0,False,False,True,False,False,0.014234875444839859
2025-04-22 10:00:00,1031,10,22,1,0,False,True,False,False,False,0.5088967971530249
2025-04-22 11:00:00,153,11,22,1,0,True,False,False,False,False,0.06253177427554653
2025-04-22 11:00:00,839,11,22,1,0,False,False,False,False,True,0.411286222674123
2025-04-22 11:00:00,114,11,22,1,0,False,False,False,True,False,0.042704626334519574
2025-04-22 11:00:00,36,11,22,1,0,False,False,True,False,False,0.003050330452465685
2025-04-22 11:00:00,1471,11,22,1,0,False,True,False,False,False,0.7325876970005084
2025-04-22 12:00:00,196,12,22,1,0,True,False,False,False,False,0.08439247585155059
2025-04-22 12:00:00,740,12,22,1,0,False,False,False,False,True,0.3609557702084392
